Abouriou
Petite Sirah
Petite Verdot
Picapoll
Picolit
Picpoul
Piedirosso
Pigato
Pignoletto
Pignolo
Pinot Auxerrois
Pinot Bianco
Pinot Blanc
Pinot Blanc-Chardonnay
Pinot Blanc-Pinot Noir
Pinot Blanc-Viognier
Pinot Grigio
Pinot Grigio-Sauvignon Blanc
Pinot Gris
Pinot Gris-Gewürztraminer
Pinot Meunier
Pinot Nero
Pinot Noir
Pinot Noir-Gamay
Pinot Noir-Syrah
Pinot-Chardonnay
Pinotage
Pinotage-Merlot
Piquepoul Blanc
Plavac Mali
Plyto
Port
Portuguese Red
Portuguese Rosé
Portuguese Sparkling
Portuguese White
Portuguiser
Posip
Poulsard
Premsal
Prieto Picudo
Primitivo
Prié Blanc
Prosecco
Provence red blend
Provence white blend
Prugnolo Gentile
Prunelard
Pugnitello
Rabigato
Raboso
Ramisco
Rara Neagra
Rebo
Rebula
Red Blend
Refosco
Rhône-style Red Blend
Rhône-style White Blend
Ribolla Gialla
Rieslaner
Riesling
Riesling-Chardonnay
Rivaner
Rkatsiteli
Robola
Roditis
Roditis-Moschofilero
Rolle
Romorantin
Rosado
Rosato
Roscetto
Rosenmuskateller
Rosé
Roter Traminer
Roter Veltliner
Rotgipfler
Roussanne
Roussanne-Grenache Blanc
Roussanne-Marsanne
Roussanne-Viognier
Roviello
Ruché
Rufete
Ryzlink Rýnský
Sacy
Sagrantino
Sangiovese
Sangiovese Cabernet
Sangiovese Grosso
Sangiovese-Cabernet Sauvignon
Sangiovese-Syrah
Saperavi
Saperavi-Merlot
Sauvignon
Sauvignon Blanc
Sauvignon Blanc-Assyrtiko
Sauvignon Blanc-Chardonnay
Sauvignon Blanc-Chenin Blanc
Sauvignon Blanc-Sauvignon Gris
Sauvignon Blanc-Semillon
Sauvignon Blanc-Verdejo
Sauvignon Gris
Sauvignon Musqué
Sauvignon-Sémillon
Sauvignonasse
Savagnin
Savatiano
Scheurebe
Schiava
Schwartzriesling
Sciaccerellu
Semillon-Chardonnay
Semillon-Sauvignon Blanc
Sercial
Seyval Blanc
Sherry
Shiraz
Shiraz-Cabernet
Shiraz-Cabernet Sauvignon
Shiraz-Grenache
Shiraz-Malbec
Shiraz-Mourvèdre
Shiraz-Roussanne
Shiraz-Tempranillo
Shiraz-Viognier
Sideritis
Siegerrebe
Silvaner
Silvaner-Traminer
Siria
Sirica
Sousão
Souzao
Sparkling Blend
Spätburgunder
St. Laurent
St. Vincent
Susumaniello
Sylvaner
Symphony
Syrah
Syrah-Bonarda
Syrah-Cabernet
Syrah-Cabernet Franc
Syrah-Cabernet Sauvignon
Syrah-Carignan
Syrah-Grenache
Syrah-Grenache-Viognier
Syrah-Malbec
Syrah-Merlot
Syrah-Mourvèdre
Syrah-Petit Verdot
Syrah-Petite Sirah
Syrah-Tempranillo
Syrah-Viognier
Sämling
Sémillon
Tamianka
Tamjanika
Tannat
Tannat-Cabernet
Tannat-Cabernet Franc
Tannat-Merlot
Tannat-Syrah
Tempranillo
Tempranillo Blanco
Tempranillo Blend
Tempranillo-Cabernet Sauvignon
Tempranillo-Garnacha
Tempranillo-Malbec
Tempranillo-Merlot
Tempranillo-Shiraz
Tempranillo-Syrah
Tempranillo-Tannat
Teran
Teroldego
Teroldego Rotaliano
Terrantez
Thrapsathiri
Timorasso
Tinta Amarela
Tinta Barroca
Tinta Cao
Tinta Fina
Tinta Francisca
Tinta Madeira
Tinta Miúda
Tinta Negra Mole
Tinta Roriz
Tinta de Toro
Tinta del Pais
Tinta del Toro
Tintilia
Tinto Fino
Tinto Velasco
Tinto del Pais
Tocai
Tocai Friulano
Tokaji
Tokay
Tokay Pinot Gris
Torbato
Torontel
Torrontés
Touriga
Touriga Franca
Touriga Nacional
Touriga Nacional Blend
Touriga Nacional-Cabernet Sauvignon
Trajadura
Traminer
Traminette
Trebbiano
Trebbiano Spoletino
Trebbiano di Lugana
Treixadura
Trepat
Trincadeira
Trollinger
Trousseau
Trousseau Gris
Tsapournakos
Tsolikouri
Turbiana
Tămâioasă Românească
Ugni Blanc
Ugni Blanc-Colombard
Uva di Troia
Uvalino
Valdiguié
Valvin Muscat
Veltliner
Verdeca
Verdejo
Verdejo-Sauvignon Blanc
Verdejo-Viura
Verdelho
Verdicchio
Verdil
Verdosilla
Verduzzo
Verduzzo Friulano
Vermentino
Vermentino Nero
Vernaccia
Vespaiolo
Vespolina
Vidadillo
Vidal
Vidal Blanc
Vignoles
Vilana
Vinhão
Viognier
Viognier-Chardonnay
Viognier-Gewürztraminer
Viognier-Grenache Blanc
Viognier-Marsanne
Viognier-Roussanne
Viognier-Valdiguié
Viosinho
Vital
Vitovska
Viura
Viura-Chardonnay
Viura-Verdejo
Vranac
Vranec
Weissburgunder
Welschriesling
White Blend
White Port
White Riesling
Xarel-lo
Xinisteri
Xinomavro
Xynisteri
Yapincak
Zelen
Zibibbo
Zierfandler
Zierfandler-Rotgipfler
Zinfandel
Zlahtina
Zweigelt
Çalkarası
Žilavka
