taster_name,taster_twitter_handle
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Roger Voss,@vossroger
Michael Schachner,@wineschach
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine
Anna Lee C. Iijima,
Roger Voss,@vossroger
Jim Gordon,@gordone_cellars
Roger Voss,@vossroger
Paul Gregutt,@paulgwine
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Anne Krebiehl MW,@AnneInVino
Anne Krebiehl MW,@AnneInVino
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Anne Krebiehl MW,@AnneInVino
Anna Lee C. Iijima,
Jim Gordon,@gordone_cellars
Matt Kettmann,@mattkettmann
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Paul Gregutt,@paulgwine
Virginie Boone,@vboone
Matt Kettmann,@mattkettmann
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Matt Kettmann,@mattkettmann
Anna Lee C. Iijima,
Kerin O’Keefe,@kerinokeefe
Joe Czerwinski,@JoeCz
Paul Gregutt,@paulgwine
Michael Schachner,@wineschach
Matt Kettmann,@mattkettmann
Jim Gordon,@gordone_cellars
Virginie Boone,@vboone
Paul Gregutt,@paulgwine
Jeff Jenssen,@worldwineguys
Roger Voss,@vossroger
Roger Voss,@vossroger
Michael Schachner,@wineschach
,
Roger Voss,@vossroger
Roger Voss,@vossroger
,
Michael Schachner,@wineschach
,
,
,
,
Lauren Buzzeo,@laurbuzz
Roger Voss,@vossroger
Paul Gregutt,@paulgwine
,
,
,
Paul Gregutt,@paulgwine
Joe Czerwinski,@JoeCz
,
,
Virginie Boone,@vboone
Paul Gregutt,@paulgwine
,
,
Michael Schachner,@wineschach
Roger Voss,@vossroger
Alexander Peartree,
Anna Lee C. Iijima,
Kerin O’Keefe,@kerinokeefe
Alexander Peartree,
Alexander Peartree,
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Lauren Buzzeo,@laurbuzz
Paul Gregutt,@paulgwine
Mike DeSimone,@worldwineguys
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Michael Schachner,@wineschach
Joe Czerwinski,@JoeCz
Roger Voss,@vossroger
Michael Schachner,@wineschach
Roger Voss,@vossroger
Joe Czerwinski,@JoeCz
Jim Gordon,@gordone_cellars
Michael Schachner,@wineschach
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Jim Gordon,@gordone_cellars
Michael Schachner,@wineschach
Kerin O’Keefe,@kerinokeefe
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Paul Gregutt,@paulgwine
Paul Gregutt,@paulgwine
Michael Schachner,@wineschach
Jim Gordon,@gordone_cellars
Roger Voss,@vossroger
Michael Schachner,@wineschach
Virginie Boone,@vboone
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine
Virginie Boone,@vboone
Virginie Boone,@vboone
Roger Voss,@vossroger
Roger Voss,@vossroger
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Jim Gordon,@gordone_cellars
Michael Schachner,@wineschach
Paul Gregutt,@paulgwine
Jim Gordon,@gordone_cellars
Kerin O’Keefe,@kerinokeefe
Kerin O’Keefe,@kerinokeefe
Virginie Boone,@vboone
Michael Schachner,@wineschach
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
Roger Voss,@vossroger
